emp_no,first_name,last_name,title,to_date
10477,Guoxiang,Trogemann,Senior Engineer,1/1/99
10486,Amstein,Kossowski,Senior Engineer,1/1/99
10494,Yakkov,Servieres,Senior Engineer,1/1/99
10497,Pramod,Rabehasaina,Senior Engineer,1/1/99
10503,Dannz,Pell,Engineer,1/1/99
10504,Xiong,Varker,Staff,1/1/99
10517,Tiina,Speek,Senior Staff,1/1/99
10529,Ymte,Yetto,Assistant Engineer,1/1/99
10531,Oguz,Gimbel,Staff,1/1/99
10542,Yannis,Couchot,Senior Engineer,1/1/99
10552,Kazuhito,Shiratori,Senior Engineer,1/1/99
10564,Jianhao,Thisen,Senior Engineer,1/1/99
10568,Gao,Poulakidas,Staff,1/1/99
10586,Kirk,Vuskovic,Senior Engineer,1/1/99
10593,Falguni,Kenevan,Senior Engineer,1/1/99
10603,Wayne,Restivo,Staff,1/1/99
10610,Irena,Roccetti,Engineer,1/1/99
10614,Gila,Ozeri,Senior Engineer,1/1/99
10623,Aleksander,Danlos,Senior Engineer,1/1/99
10624,Sham,Gyorkos,Technique Leader,1/1/99
10628,Krisda,Krogh,Senior Engineer,1/1/99
10630,Bezalel,Katzenelson,Engineer,1/1/99
10631,Inderjeet,Chaudhuri,Engineer,1/1/99
10634,Nahid,Chepyzhov,Senior Engineer,1/1/99
10636,Saeko,Porotnikoff,Staff,1/1/99
10639,Pramod,Erol,Senior Engineer,1/1/99
10641,Guozhong,Zucker,Engineer,1/1/99
10642,Hirochika,Narlikar,Engineer,1/1/99
10653,Otmar,Feinberg,Senior Engineer,1/1/99
10667,Makato,Cusworth,Senior Staff,1/1/99
10676,Valeri,Danley,Engineer,1/1/99
10683,Guiseppe,Stranks,Senior Engineer,1/1/99
10696,Unal,Fendler,Technique Leader,1/1/99
10702,Bader,Szemeredi,Senior Engineer,1/1/99
10712,Uma,Koprowski,Senior Engineer,1/1/99
10718,Adib,Rullman,Senior Engineer,1/1/99
10726,Zita,Minakawa,Senior Engineer,1/1/99
10734,Sachar,Erdi,Engineer,1/1/99
10742,Shim,Wiegley,Technique Leader,1/1/99
10745,Poorav,Ranze,Senior Engineer,1/1/99
10749,King,Brendel,Senior Engineer,1/1/99
10750,Roddy,Demeyer,Technique Leader,1/1/99
10764,Yunming,Beetstra,Senior Engineer,1/1/99
10767,Monique,Doering,Staff,1/1/99
10768,Ishfaq,Candan,Senior Engineer,1/1/99
10778,Selwyn,Merey,Senior Staff,1/1/99
10791,Tadahiko,Sgarro,Senior Engineer,1/1/99
10808,Chenxi,Leijenhorst,Senior Engineer,1/1/99
10811,Ashish,Fortenbacher,Engineer,1/1/99
10813,Shalesh,Shumilov,Senior Staff,1/1/99
10826,Arnd,Anandan,Senior Engineer,1/1/99
10827,Willard,Danley,Staff,1/1/99
10831,Toong,Driscoll,Technique Leader,1/1/99
10833,Krisda,Gecseg,Technique Leader,1/1/99
10834,Huiqun,Rajcani,Engineer,1/1/99
10835,Tomoyuki,Kermarrec,Engineer,1/1/99
10836,Jianhua,Leivant,Senior Staff,1/1/99
10844,Dipayan,Koprowski,Engineer,1/1/99
10846,Tokuyasu,Serre,Senior Engineer,1/1/99
10848,Fen,Bratsberg,Senior Engineer,1/1/99
10849,Makato,Mayerwieser,Engineer,1/1/99
10854,Jagoda,Nannarelli,Engineer,1/1/99
10858,Kenroku,Gonthier,Senior Engineer,1/1/99
10871,Aram,Gilg,Staff,1/1/99
10873,Sukumar,Wegerle,Staff,1/1/99
10878,Lakshmi,Deville,Staff,1/1/99
10879,Muzhong,Chleq,Senior Engineer,1/1/99
10882,Fun,Heuser,Engineer,1/1/99
10883,Shimshon,Champarnaud,Engineer,1/1/99
10885,Rayond,Cronau,Senior Staff,1/1/99
10887,Lunjin,DeMori,Senior Engineer,1/1/99
10900,Ferdinand,Prenel,Senior Engineer,1/1/99
10906,Munehiro,Carrere,Staff,1/1/99
10909,Georgi,Atchley,Senior Engineer,1/1/99
10913,Narain,Thummel,Staff,1/1/99
10921,Mara,Bahi,Senior Engineer,1/1/99
10926,Leni,Eppinger,Senior Engineer,1/1/99
10930,Arch,Minakawa,Senior Engineer,1/1/99
10932,Avishai,Picci,Senior Engineer,1/1/99
10942,Toshimitsu,Larfeldt,Engineer,1/1/99
10943,Berna,Skafidas,Senior Engineer,1/1/99
10944,Remko,Zyda,Senior Engineer,1/1/99
10956,Arno,Picel,Engineer,1/1/99
10965,Eckart,Braunschweig,Senior Staff,1/1/99
10969,Premal,Noriega,Senior Engineer,1/1/99
10974,Muneo,Papsdorf,Senior Engineer,1/1/99
10986,Masako,Schiper,Technique Leader,1/1/99
10987,Flemming,Baezner,Engineer,1/1/99
10988,Chinya,Deyuan,Senior Engineer,1/1/99
10990,Shin,Foote,Technique Leader,1/1/99
11004,JoAnna,Decleir,Senior Engineer,1/1/99
11012,Taegyun,Speckmann,Staff,1/1/99
11019,Leon,Huttel,Senior Engineer,1/1/99
11021,Srinidhi,Henders,Staff,1/1/99
11027,Remzi,Cappello,Senior Engineer,1/1/99
11032,Erez,Schaaf,Staff,1/1/99
11037,Lansing,Maliniak,Senior Engineer,1/1/99
11042,Gou,Breugel,Senior Engineer,1/1/99
11048,Jaques,Demke,Senior Staff,1/1/99
11051,Przemyslawa,Erol,Senior Engineer,1/1/99
11056,Palash,Speel,Staff,1/1/99
11064,Shawna,Vieri,Senior Engineer,1/1/99
11066,Shaz,Langford,Senior Staff,1/1/99
11070,Adib,Raney,Senior Engineer,1/1/99
11071,Kwan,Sigstam,Senior Engineer,1/1/99
11075,Karsten,Belinskaya,Senior Engineer,1/1/99
11079,Piyush,Garigliano,Senior Engineer,1/1/99
11084,Greger,Senzako,Senior Engineer,1/1/99
11085,Hailing,Thummel,Senior Engineer,1/1/99
11087,Changho,Jayawardene,Senior Engineer,1/1/99
11089,Conal,Henders,Senior Staff,1/1/99
11091,Souichi,Ramsay,Engineer,1/1/99
11092,Narain,Stamatiou,Staff,1/1/99
11098,Arnd,Covnot,Engineer,1/1/99
11106,Aris,Iwayama,Senior Engineer,1/1/99
11111,Udi,Zastre,Assistant Engineer,1/1/99
11112,Boaz,Mukaidono,Staff,1/1/99
11121,Vugranam,Kakkad,Senior Engineer,1/1/99
11130,Xinyu,Menhoudj,Senior Staff,1/1/99
11132,Kristin,Harnett,Senior Engineer,1/1/99
11133,Nalini,Azulay,Technique Leader,1/1/99
11134,Sachar,Rajcani,Senior Engineer,1/1/99
11137,Hugh,Luca,Engineer,1/1/99
11143,Yongdong,Rosen,Engineer,1/1/99
11147,Ayonca,Nitsch,Engineer,1/1/99
11158,Masaki,Hagimont,Senior Engineer,1/1/99
11162,Kauko,Narlikar,Senior Engineer,1/1/99
11170,Minghong,Cannard,Senior Engineer,1/1/99
11174,Akhilish,Milicia,Engineer,1/1/99
11177,Chrisa,dAstous,Senior Engineer,1/1/99
11180,Mitsuyuki,Bojadziev,Senior Engineer,1/1/99
11181,Hausi,Cullers,Engineer,1/1/99
11186,Kshitij,Stasinski,Senior Engineer,1/1/99
11189,Dante,Bodoff,Senior Staff,1/1/99
11192,Apostol,Bahr,Engineer,1/1/99
11197,Tadahiro,Fordan,Senior Staff,1/1/99
11201,Jouko,Masaki,Staff,1/1/99
11204,Diederik,Covnot,Technique Leader,1/1/99
11207,Saeed,Gips,Engineer,1/1/99
11208,Saniya,Valtorta,Technique Leader,1/1/99
11211,Yurij,Rissland,Senior Engineer,1/1/99
11213,Vugranam,Munoz,Technique Leader,1/1/99
11217,Kellie,Mawatari,Senior Engineer,1/1/99
11229,Gretta,Ramamoorthy,Senior Engineer,1/1/99
11233,Sanjit,Waschkowski,Senior Engineer,1/1/99
11240,Kiam,Condotta,Engineer,1/1/99
11243,Udi,Desikan,Assistant Engineer,1/1/99
11249,Randi,Cyre,Engineer,1/1/99
11253,Koldo,Pokrovskii,Senior Engineer,1/1/99
11254,Danel,Rindone,Staff,1/1/99
11266,Florina,Rohrbach,Senior Engineer,1/1/99
11267,Shaunak,Zaumen,Senior Engineer,1/1/99
11268,Aimee,Petersohn,Senior Engineer,1/1/99
11274,Masanao,Nicolson,Staff,1/1/99
11275,Hitomi,Eppinger,Senior Engineer,1/1/99
11289,Chuanti,Cherinka,Senior Engineer,1/1/99
11290,Visit,Dredge,Engineer,1/1/99
11292,Souichi,Sichman,Senior Engineer,1/1/99
11294,Tru,Segond,Senior Engineer,1/1/99
11296,Hironobu,Kenevan,Senior Engineer,1/1/99
11319,Pranas,Marrakchi,Assistant Engineer,1/1/99
11322,Nathalie,Pocchiola,Senior Engineer,1/1/99
11324,Kauko,Billingsley,Senior Engineer,1/1/99
11325,Samphel,Rossi,Engineer,1/1/99
11326,Munenori,Plesums,Senior Engineer,1/1/99
11338,Kwangsub,Hanratty,Senior Staff,1/1/99
11339,Flemming,Massonet,Senior Engineer,1/1/99
11340,Aris,Bala,Senior Engineer,1/1/99
11343,Susanne,Erez,Senior Engineer,1/1/99
11347,Anneli,Jonsson,Senior Engineer,1/1/99
11349,Yurii,Hammerschmidt,Engineer,1/1/99
11365,Toshimi,Shinomoto,Engineer,1/1/99
11380,Kenroku,Pelc,Senior Engineer,1/1/99
11385,Shiv,Ullian,Engineer,1/1/99
11386,Alselm,Assaf,Senior Engineer,1/1/99
11393,Junsik,Junot,Senior Engineer,1/1/99
11396,Anneke,Servieres,Engineer,1/1/99
11401,Huan,Merey,Staff,1/1/99
11404,Bedrich,Borovoy,Technique Leader,1/1/99
11410,Gro,Vendrig,Engineer,1/1/99
11415,Sanjiv,Anido,Engineer,1/1/99
11417,Anneli,Cyne,Technique Leader,1/1/99
11418,Satosi,Cooley,Senior Staff,1/1/99
11420,Tsutomu,Lalonde,Senior Staff,1/1/99
11421,Josyula,Msuda,Senior Engineer,1/1/99
11423,Guangming,Kopetz,Staff,1/1/99
11425,Renee,Crelier,Senior Engineer,1/1/99
11441,Marlo,Aingworth,Senior Staff,1/1/99
11446,Naftali,Narahara,Senior Engineer,1/1/99
11449,Kotesh,Asser,Senior Engineer,1/1/99
11451,Eben,Rajaraman,Senior Engineer,1/1/99
11460,Mana,Maraist,Senior Engineer,1/1/99
11469,Guttorm,Giaccio,Senior Engineer,1/1/99
11474,Gennady,Akazan,Engineer,1/1/99
11476,Manton,Yoshizawa,Staff,1/1/99
11479,Shridhar,Pleszkun,Staff,1/1/99
11503,Nathan,Picht,Senior Engineer,1/1/99
11506,Rance,Picel,Staff,1/1/99
11509,Aleksander,Feldhoffer,Senior Engineer,1/1/99
11515,Ulf,Basawa,Staff,1/1/99
11519,Halsur,Chinen,Senior Staff,1/1/99
11523,Yuguang,Pezzoli,Engineer,1/1/99
11524,Xiadong,Standera,Senior Engineer,1/1/99
11527,Alagu,Boyle,Staff,1/1/99
11528,Zito,Dolinsky,Technique Leader,1/1/99
11531,Radhika,Motley,Technique Leader,1/1/99
11533,Vitaly,Lorch,Technique Leader,1/1/99
11537,DAIDA,Pehl,Senior Staff,1/1/99
11540,Chanjung,Portugali,Senior Engineer,1/1/99
11554,Subhash,Taubenfeld,Staff,1/1/99
11568,Martins,Fujisaki,Senior Engineer,1/1/99
11573,Pranas,Hutton,Senior Engineer,1/1/99
11575,Godehard,Plotkin,Engineer,1/1/99
11577,Mayumi,Deyuan,Senior Engineer,1/1/99
11581,Patricio,Rosenbaum,Senior Engineer,1/1/99
11587,Shem,Zambonelli,Senior Engineer,1/1/99
11589,Gina,Plessier,Senior Engineer,1/1/99
11595,Takanari,Kamber,Senior Staff,1/1/99
11596,Yannik,Gunderson,Staff,1/1/99
11607,Tomokazu,Foong,Engineer,1/1/99
11616,Zhilian,Brendel,Engineer,1/1/99
11624,Adil,Gammage,Senior Engineer,1/1/99
11628,Fan,Malinowski,Senior Engineer,1/1/99
11640,Valeri,Coorg,Senior Engineer,1/1/99
11641,Chikako,Rothenberg,Senior Engineer,1/1/99
11644,Sanjit,Zaiane,Assistant Engineer,1/1/99
11646,Lobel,Rubsam,Engineer,1/1/99
11647,Magy,Nitsche,Senior Engineer,1/1/99
11649,Shen,Bernardinello,Technique Leader,1/1/99
11664,Oksana,Brizzi,Senior Staff,1/1/99
11673,Henk,Felder,Technique Leader,1/1/99
11676,Valeri,Ferriere,Engineer,1/1/99
11681,Fumitake,Benzmuller,Senior Engineer,1/1/99
11690,Domenick,Raczkowsky,Staff,1/1/99
11693,Hideo,Coorg,Senior Engineer,1/1/99
11713,Danel,Heusch,Senior Engineer,1/1/99
11732,Sanjoy,Ranft,Senior Engineer,1/1/99
11733,Leszek,Sudbeck,Senior Engineer,1/1/99
11736,Shugo,Uchoa,Senior Engineer,1/1/99
11737,Martina,Garnier,Assistant Engineer,1/1/99
11748,Lihong,Massonet,Engineer,1/1/99
11756,Abdelwaheb,Vakili,Engineer,1/1/99
11763,Yuriy,Liesche,Engineer,1/1/99
11764,Sanjay,Anick,Senior Engineer,1/1/99
11770,Arumugam,Jakobus,Senior Engineer,1/1/99
11772,Gaurav,Penz,Engineer,1/1/99
11774,Aron,Wroclawski,Engineer,1/1/99
11778,Dhritiman,Fontan,Senior Engineer,1/1/99
11779,Shunichi,Thombley,Staff,1/1/99
11791,Gal,Mamelak,Senior Engineer,1/1/99
11807,Chriss,Binding,Technique Leader,1/1/99
11810,Amabile,Bhattacharjee,Senior Engineer,1/1/99
11822,Sastry,Madeira,Staff,1/1/99
11823,Weiyi,Iacovou,Senior Engineer,1/1/99
11829,Chaosheng,Pettis,Assistant Engineer,1/1/99
11832,Arto,Zlotek,Engineer,1/1/99
11836,Ortrud,Bakhtari,Senior Staff,1/1/99
11841,Elvia,Bugrara,Staff,1/1/99
11844,Shawna,Demeyer,Senior Engineer,1/1/99
11846,Fai,Perly,Senior Engineer,1/1/99
11857,Divier,Farrag,Senior Staff,1/1/99
11862,Alejandra,Deville,Senior Engineer,1/1/99
11864,Pradeep,Kriebel,Staff,1/1/99
11868,Kwee,Demke,Engineer,1/1/99
11869,Fumino,Luca,Engineer,1/1/99
11871,Nalini,Sommen,Senior Engineer,1/1/99
11876,Leszek,Kobuchi,Senior Engineer,1/1/99
11894,Mitchel,Validov,Senior Engineer,1/1/99
11896,Shaunak,Benzmuller,Technique Leader,1/1/99
11906,Hideo,Boguraev,Engineer,1/1/99
11911,Ashish,Mondadori,Senior Engineer,1/1/99
11915,Miomir,Mawatari,Senior Engineer,1/1/99
11917,Jiakeng,VanScheik,Engineer,1/1/99
11926,Leni,Felcyn,Engineer,1/1/99
11933,Basil,Erman,Senior Engineer,1/1/99
11938,Aruna,Verspoor,Staff,1/1/99
11940,Ult,Anido,Assistant Engineer,1/1/99
11944,Along,Aumann,Senior Engineer,1/1/99
11945,Limsoon,Marakhovsky,Staff,1/1/99
11948,Yahiko,Nergos,Senior Engineer,1/1/99
11949,Martijn,Harbusch,Technique Leader,1/1/99
11951,Bernt,Haumacher,Senior Engineer,1/1/99
11965,Arup,Morrey,Engineer,1/1/99
11972,Sibyl,Beausoleil,Senior Staff,1/1/99
11980,Yechezkel,Pews,Staff,1/1/99
11983,Jaana,Hedayat,Senior Engineer,1/1/99
11989,Erzsebet,Peltason,Technique Leader,1/1/99
11993,Marit,Dalphin,Senior Staff,1/1/99
12007,Marko,Dehkordi,Senior Engineer,1/1/99
12015,Kensei,Guenter,Staff,1/1/99
12021,Chikara,Rahimi,Senior Engineer,1/1/99
12023,Chuanyi,Eppinger,Technique Leader,1/1/99
12024,Mayumi,Lanzelotte,Staff,1/1/99
12028,Ingemar,Walstra,Senior Engineer,1/1/99
12030,Shuky,Cromarty,Staff,1/1/99
12034,Aemilian,Piazza,Staff,1/1/99
12040,Bluma,Kermarrec,Senior Staff,1/1/99
12043,Masaki,Lubachevsky,Staff,1/1/99
12044,Rance,Hemaspaandra,Senior Engineer,1/1/99
12047,Jordanka,Ligten,Assistant Engineer,1/1/99
12050,Yuchang,Tchuente,Engineer,1/1/99
12053,Yechezkel,Pelc,Senior Engineer,1/1/99
12054,Odysseas,Braccini,Staff,1/1/99
12060,Toshimi,Antonakopoulos,Technique Leader,1/1/99
12062,Margareta,Worfolk,Senior Staff,1/1/99
12063,Lein,Bale,Senior Engineer,1/1/99
12069,Ayonca,Burnard,Senior Engineer,1/1/99
12070,Ger,Shokrollahi,Technique Leader,1/1/99
12076,Karlis,Siprelle,Senior Staff,1/1/99
12090,Shigenori,Angelopoulos,Engineer,1/1/99
12091,Lansing,Cunliffe,Senior Engineer,1/1/99
12092,Kauko,Unno,Senior Staff,1/1/99
12093,Evgueni,Oxenboll,Senior Engineer,1/1/99
12094,Weiru,Pearson,Senior Staff,1/1/99
12102,Aron,Erde,Staff,1/1/99
12114,Shiv,Rubsam,Staff,1/1/99
12122,Satoru,Krone,Senior Engineer,1/1/99
12125,Shounak,Erman,Engineer,1/1/99
12138,Takahito,Brender,Engineer,1/1/99
12140,Xudong,Paciorek,Senior Staff,1/1/99
12149,Suebskul,Grandbois,Senior Staff,1/1/99
12159,Shem,Perly,Senior Engineer,1/1/99
12160,Aamer,Garrabrants,Senior Staff,1/1/99
12164,Muneo,Chachaty,Engineer,1/1/99
12165,Xiaobin,Maquelin,Senior Engineer,1/1/99
12168,Arnd,Salverda,Senior Staff,1/1/99
12172,Jianhua,Llado,Senior Staff,1/1/99
12174,Slavian,Plavsic,Senior Engineer,1/1/99
12183,Harngdar,Iisaku,Engineer,1/1/99
12190,Abdulah,Engberts,Senior Engineer,1/1/99
12191,Rosella,Bazzichi,Engineer,1/1/99
12192,Feiyu,Klyachko,Senior Engineer,1/1/99
12205,Sushant,Rossi,Senior Engineer,1/1/99
12206,Barton,Janetzko,Senior Engineer,1/1/99
12216,Aloke,Mansanne,Engineer,1/1/99
12218,Yaghout,Strooper,Senior Engineer,1/1/99
12219,Junsik,Gadepally,Senior Staff,1/1/99
12221,Vincent,Melter,Senior Engineer,1/1/99
12223,Niteen,Koyama,Senior Engineer,1/1/99
12230,Yuriy,Bellone,Engineer,1/1/99
12231,Nishit,Bharadwaj,Senior Engineer,1/1/99
12235,Honesty,Haumacher,Staff,1/1/99
12242,Satoru,Wolniewicz,Engineer,1/1/99
12247,Subbu,Penttonen,Technique Leader,1/1/99
12249,Eldridge,Sadowski,Senior Engineer,1/1/99
12250,Kerhong,Aloia,Senior Engineer,1/1/99
12258,Kankanahalli,Eiter,Senior Engineer,1/1/99
12264,Mart,Pagter,Engineer,1/1/99
12269,Mohammed,Whitcomb,Senior Engineer,1/1/99
12281,Hisao,Langford,Senior Engineer,1/1/99
12282,Tadahiro,Delgrange,Engineer,1/1/99
12298,Tetsurou,Rodham,Senior Engineer,1/1/99
12311,Susanne,Lubachevsky,Senior Engineer,1/1/99
12316,Hyuncheol,Duclos,Engineer,1/1/99
12317,Weiyi,Crabtree,Staff,1/1/99
12327,DAIDA,Bruckman,Senior Engineer,1/1/99
12328,Atilio,Prampolini,Staff,1/1/99
12338,Kagan,Besselaar,Staff,1/1/99
12339,Pranay,Czaja,Staff,1/1/99
12341,Rasiah,Luga,Senior Engineer,1/1/99
12355,Vidar,Hutton,Senior Engineer,1/1/99
12364,Neelam,Cummings,Assistant Engineer,1/1/99
12365,Kamakshi,Bisiani,Senior Engineer,1/1/99
12373,Mooi,Driscoll,Senior Staff,1/1/99
12379,Kazuhisa,Serna,Technique Leader,1/1/99
12388,Arumugam,Hebert,Senior Engineer,1/1/99
12394,Stevo,Reeken,Engineer,1/1/99
12395,Sanjit,Felder,Senior Staff,1/1/99
12413,Hugh,Gadepally,Senior Engineer,1/1/99
12417,Dannz,Spelt,Senior Engineer,1/1/99
12421,Toshimi,Gulik,Senior Engineer,1/1/99
12426,Shahaf,Valtorta,Technique Leader,1/1/99
12434,Xumin,Bernardinello,Engineer,1/1/99
12450,Sanjeeva,Perng,Senior Engineer,1/1/99
12452,Hiroyasu,Francisci,Engineer,1/1/99
12454,Kerryn,Farris,Staff,1/1/99
12464,Shai,Milicic,Staff,1/1/99
12466,Cullen,Nations,Senior Staff,1/1/99
12468,Ioana,Baezner,Staff,1/1/99
12475,Filipe,Roison,Senior Engineer,1/1/99
12480,Tetsushi,Schade,Staff,1/1/99
12487,Mona,Reghbati,Senior Staff,1/1/99
12488,Etsuo,Gerteisen,Senior Engineer,1/1/99
12489,Arnould,Munck,Senior Engineer,1/1/99
12490,Jackson,Muchinsky,Senior Engineer,1/1/99
12492,Kristinn,Hammerschmidt,Senior Engineer,1/1/99
12501,Morrie,Matheson,Senior Staff,1/1/99
12502,Danil,VanScheik,Senior Engineer,1/1/99
12504,Adly,Rosaz,Engineer,1/1/99
12506,Gay,Rodite,Engineer,1/1/99
12514,Tomofumi,Melter,Engineer,1/1/99
12515,Pranav,Wilharm,Senior Engineer,1/1/99
12520,Goetz,Basart,Engineer,1/1/99
12522,Trygve,Zhang,Technique Leader,1/1/99
12523,Tonia,Casley,Senior Staff,1/1/99
12524,Tetsushi,Demeyer,Engineer,1/1/99
12534,Yongmao,Gerlach,Senior Engineer,1/1/99
12540,Poornachandra,Bresenham,Senior Staff,1/1/99
12551,Jeane,Tzvieli,Senior Engineer,1/1/99
12553,Aral,Vesna,Senior Staff,1/1/99
12555,Spyrose,DuCasse,Assistant Engineer,1/1/99
12557,Stafford,Kopetz,Senior Engineer,1/1/99
12558,Danco,Niizuma,Senior Engineer,1/1/99
12563,Honesty,Ducloy,Engineer,1/1/99
12564,Remco,Nitsche,Staff,1/1/99
12571,Abdelaziz,Candan,Engineer,1/1/99
12574,Mong,Gelosh,Engineer,1/1/99
12586,Oguz,Tasistro,Senior Engineer,1/1/99
12588,Yagil,Kenevan,Senior Engineer,1/1/99
12589,Anoosh,Chleq,Senior Engineer,1/1/99
12590,Gita,Rosenbaum,Senior Staff,1/1/99
12596,Breannda,Roisin,Senior Staff,1/1/99
12597,Kazuhito,Petereit,Senior Staff,1/1/99
12601,Ghassan,Simkin,Senior Engineer,1/1/99
12603,Utpal,Roison,Staff,1/1/99
12612,Chandrasekaran,Thimonier,Staff,1/1/99
12626,Gill,Comyn,Senior Engineer,1/1/99
12635,Xinyu,Restivo,Senior Engineer,1/1/99
12638,Yuqun,Seiwald,Engineer,1/1/99
12639,Zeljko,Schapire,Senior Engineer,1/1/99
12644,Bernt,Jayawardene,Senior Engineer,1/1/99
12645,Kyoichi,Decaestecker,Staff,1/1/99
12651,Pragnesh,Bael,Senior Staff,1/1/99
12662,Leucio,Alvarado,Engineer,1/1/99
12663,Nobuyoshi,Stellhorn,Technique Leader,1/1/99
12664,Zhonghua,Parveen,Staff,1/1/99
12666,Stamatina,Prenel,Engineer,1/1/99
12670,Seongbae,Alameldin,Engineer,1/1/99
12672,Mayumi,Varman,Senior Engineer,1/1/99
12680,Bader,Staudhammer,Staff,1/1/99
12687,Weicheng,Badache,Staff,1/1/99
12689,Luerbio,Boudaillier,Senior Engineer,1/1/99
12691,Oddvar,Gils,Senior Engineer,1/1/99
12707,Gregory,Zastre,Staff,1/1/99
12709,Ronghao,Botman,Senior Engineer,1/1/99
12715,Honglan,Showalter,Staff,1/1/99
12717,Tzu,Jiafu,Staff,1/1/99
12722,Elliott,Cheshire,Senior Staff,1/1/99
